tujuan_penyaluran,alamat_tujuan,nama_kota_kab_tujuan,nama_provinsi_tujuan
AL HAFIY MOJOKERTO APOTEK MOJOKERTO,JL. BRAWIJAYA NO.9 TROWULAN,Mojokerto,Jawa Timur
AL HANIF APOTEK,JL. SUMBER AYU NO. 261A,Banyuwangi,Jawa Timur
AL HASANAH APOTEK,JL. PAHLAWAN NO. 23 DESA GAPUROSUKOLILO,Gresik,Jawa Timur
AL HIKAM APOTEK,JL. CENGGER AYAM NO. 25 - TULUSREJO,Kota Malang,Jawa Timur
AL HUDA RS,JL. RAYA GAMBIRAN NO.225 DESA GAMBIRAN KEC. GAMBIRAN,Banyuwangi,Jawa Timur
AL HUDAN APOTEK,JL RY SUMUR PANDAN NO 19 JEKEK BARON NGANJUK,Nganjuk,Jawa Timur
AL IKHLAS RSI PEMALANG,JL. KOL SUGIONO NO.24 DESA TAMAN KECAMATAN TAMAN,Pemalang,Jawa Tengah
AL IRSYAD RS,JL KH MANSYUR-SURABAYA,Kota Surabaya,Jawa Timur
AL IRSYAD RS,JL. KH. MAS MANSYUR NO. 210 - 214,Kota Surabaya,Jawa Timur
AL IRSYAD RS,JL. KH. MANSYUR 210 - 214 AMPEL-SEMAMPIR,Kota Surabaya,Jawa Timur
AL IRSYAD RS,JL. KH. MANSYUR NO. 210-214,Kota Surabaya,Jawa Timur
